query,tables,predicates,cost ratio,label,MAX Q-error,SUM Q-error,MAX L1-error,SUM L1-error,Weighted SUM L1-error,complexity
36,4,3,1.08,1,1.88,3.5,2.5,2.5,0.02746735657648295,1
38,4,3,1.06,1,1.73,3.45,2.37,2.37,0.026039054034505838,1
66,5,4,1.34,1,3.57,6.58,3.59,6.76,0.178097100113997,1
67,5,4,6.98,1,27.97,39.9,30.0,33.59,0.4998671636252601,1
68,5,4,1.4,1,7.64,11.739999999999998,3.37,3.37,0.008332740037859191,1
69,5,4,1.04,1,37.04,49.67,6.8,12.86,0.08969530621724035,1
70,5,4,1.04,1,31.49,47.22,6.61,12.81,0.08795395435935653,1
*,*,*,*,*,*,*,*,*,*,*
10,3,2,1.0,0,1.62,1.62,0,0,0.0,1
11,3,2,1.0,0,1.41,1.41,0,0,0.0,1
12,3,2,1.0,0,1.37,1.37,0,0,0.0,1
13,3,2,1.0,0,1.5,1.5,0,0,0.0,1
14,3,2,1.0,0,1.44,1.44,0,0,0.0,1
15,3,2,1.0,0,1.46,1.46,0,0,0.0,1
16,3,2,1.0,0,1.5,1.5,0,0,0.0,1
17,3,2,1.0,0,2.0,2.0,0,0,0.0,1
18,3,2,1.0,0,9.25,9.25,0,0,0.0,1
19,3,2,1.0,0,3.4,3.4,0,0,0.0,1
20,3,2,1.0,0,7.27,7.27,0,0,0.0,1
21,3,2,1.0,0,1.83,1.83,0,0,0.0,1
22,3,2,1.0,0,3.75,3.75,0,0,0.0,1
23,3,2,1.0,0,2.79,2.79,0,0,0.0,1
24,3,2,1.0,0,1.7,1.7,0,0,0.0,1
25,3,2,1.0,0,2.37,2.37,0,0,0.0,1
26,3,2,1.0,0,1.7,1.7,0,0,0.0,1
27,3,2,1.0,0,1.65,1.65,0,0,0.0,1
28,3,2,1.0,0,1.71,1.71,0,0,0.0,1
29,3,2,1.0,0,1.7,1.7,0,0,0.0,1
30,3,2,1.0,0,1.87,1.87,0,0,0.0,1
31,3,2,1.0,0,1.84,1.84,0,0,0.0,1
32,3,2,1.0,0,2.08,2.08,0,0,0.0,1
33,3,2,1.0,0,1.61,1.61,0,0,0.0,1
34,3,2,1.0,0,1.51,1.51,0,0,0.0,1
35,3,2,1.0,0,1.81,1.81,0,0,0.0,1
37,4,3,1.0,0,40.0,50.0,0,0,0.0,1
39,4,3,1.0,0,3.15,5.029999999999999,0,0,0.0,1
40,4,3,1.0,0,3.56,5.54,0,0,0.0,1
41,4,3,1.0,0,4.18,7.66,0,0,0.0,1
42,4,3,1.0,0,3.0,4.49,0,0,0.0,1
43,4,3,1.0,0,1.74,3.44,0,0,0.0,1
44,4,3,1.0,0,2.56,4.49,0,0,0.0,1
45,4,3,1.0,0,1.74,3.44,0,0,0.0,1
46,4,3,1.0,0,2.21,4.1,0,0,0.0,1
47,4,3,1.0,0,2.58,4.63,0,0,0.0,1
48,4,3,1.0,0,2.37,4.21,0,0,0.0,1
49,4,3,1.0,0,2.37,4.11,0,0,0.0,1
4,3,2,1.0,0,4.63,4.63,0,0,0.0,1
50,4,3,1.0,0,1.68,3.24,0,0,0.0,1
51,4,3,1.0,0,1.83,3.1900000000000004,0,0,0.0,1
52,4,3,1.0,0,2.15,3.66,0,0,0.0,1
53,4,3,1.0,0,2.06,3.52,0,0,0.0,1
54,4,3,1.0,0,1.74,2.95,0,0,0.0,1
55,4,3,1.0,0,1.89,3.23,0,0,0.0,1
56,4,3,1.0,0,1.7,3.06,0,0,0.0,1
57,4,3,1.0,0,5.81,8.6,0,0,0.0,1
58,4,3,1.0,0,5.08,7.550000000000001,0,0,0.0,1
59,5,4,1.0,0,5.3,10.49,0,0,0.0,1
5,3,2,1.0,0,3.0,3.0,0,0,0.0,1
60,5,4,1.0,0,6.58,12.52,0,0,0.0,1
61,5,4,1.0,0,3.28,7.3100000000000005,2.54,2.54,0.027906834281706677,1
62,5,4,1.0,0,4.14,8.629999999999999,2.15,2.15,0.023621926655775335,1
63,5,4,1.0,0,2.22,6.029999999999999,3.91,3.91,0.04295894568561933,1
64,5,4,1.0,0,6.5,12.6,13.52,13.52,0.14854346436561977,1
65,5,4,1.0,0,2.49,6.36,5.95,5.95,0.06537230865202942,1
6,3,2,1.0,0,1.5,1.5,0,0,0.0,1
7,3,2,1.0,0,6.0,6.0,0,0,0.0,1
8,3,2,1.0,0,1.32,1.32,0,0,0.0,1
9,3,2,1.0,0,1.37,1.37,0,0,0.0,1
#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#
