query_name,plan_size,true_cost,compass_est,psql_est,plan
1,0,0,0,0,
10,2,303486,300868,187850,"['t', 'mi_idx']"
11,2,1253091,1196910,1062999,"['t', 'mk']"
12,2,299534,274419,410109,"['t', 'mk']"
13,2,2742670,2737760,1840394,"['t', 'mk']"
14,2,450556,463984,313117,"['t', 'mc']"
15,2,176197,160305,120802,"['t', 'mc']"
16,2,794787,788902,542106,"['t', 'mc']"
17,2,11,36,22,"['t', 'mk']"
18,2,1054,7591,114,"['t', 'mk']"
19,2,2,2,1,"['t', 'mk']"
2,0,0,0,0,
20,2,11,62,80,"['t', 'mk']"
21,2,1970380,1917480,1455099,"['t', 'mk']"
22,2,2343162,2364700,624725,"['t', 'mk']"
23,2,1053171,991220,377501,"['t', 'mk']"
24,2,41840,46411,25813,"['t', 'mk']"
25,2,5181,5680,2185,"['t', 'mc']"
26,2,10544,12402,6475,"['t', 'mc']"
27,2,2229308,2386760,1388811,"['t', 'mk']"
28,2,2609129,2720690,1534782,"['t', 'ci']"
29,2,2609129,2720690,1534782,"['t', 'ci']"
3,0,0,0,0,
30,2,276403,224340,148026,"['t', 'mc']"
31,2,828838,914718,612110,"['t', 'ci']"
32,2,221088,245745,148821,"['t', 'ci']"
33,2,829639,913715,613074,"['t', 'mc']"
34,2,294635,336113,236526,"['t', 'mc']"
35,2,1508127,1532500,1061428,"['t', 'mc']"
36,3,92806,295968,89484,"['t', 'mi', 'mi_idx']"
37,3,14,478,2,"['t', 'mi', 'mc']"
38,3,364812,833157,331990,"['t', 'mi', 'mi_idx']"
39,3,512490,686394,256904,"['t', 'mi', 'mi_idx']"
4,2,250,571,54,"['t', 'mi_idx']"
40,3,38242,184232,42609,"['t', 'mi', 'mk']"
41,3,448828,619232,276484,"['t', 'mi', 'mk']"
42,3,269097,612967,425706,"['t', 'mi', 'mk']"
43,3,167294,470128,154875,"['t', 'ci', 'mi_idx']"
44,3,553424,684969,483713,"['t', 'ci', 'mi_idx']"
45,3,2080114,2245409,1866810,"['t', 'ci', 'mi_idx']"
46,3,7791670,8395580,5769249,"['t', 'mc', 'mi']"
47,3,2978359,5130156,1982701,"['t', 'mc', 'mi']"
48,3,9701908,6803930,7296885,"['t', 'mc', 'mi']"
49,3,12334,38080,7965,"['t', 'mk', 'mc']"
5,2,3,31,1,"['t', 'mi_idx']"
50,3,6110,92871,7915,"['t', 'mk', 'mc']"
51,3,19145,60504,16367,"['t', 'mk', 'mc']"
52,3,643,11950,461,"['t', 'mk', 'mc']"
53,3,2122036,2816661,1458931,"['t', 'ci', 'mc']"
54,3,13514150,16225490,10551003,"['t', 'ci', 'mc']"
55,3,7791670,7880920,5769249,"['t', 'ci', 'mc']"
56,3,190392,727011,159528,"['t', 'mk', 'mc']"
57,3,983919,2202083,431460,"['t', 'mi_idx', 'ci']"
58,3,605388,2472847,315197,"['t', 'mi_idx', 'ci']"
59,4,444466,31602567,1349690,"['t', 'mi', 'mc', 'mk']"
6,2,12,227,8,"['t', 'mi_idx']"
60,4,325116,23386494,1092580,"['t', 'mi', 'mc', 'mk']"
61,4,1204492,37050026,2832007,"['t', 'mi', 'mc', 'mk']"
62,4,777485,30706126,2068877,"['t', 'mi', 'mc', 'mk']"
63,4,9648086,317893875,14806160,"['t', 'ci', 'mi_idx', 'mi']"
64,4,629909,85277413,2281783,"['t', 'ci', 'mi_idx', 'mi']"
65,4,3985131,306393874,8095954,"['t', 'ci', 'mi_idx', 'mi']"
66,4,19601702,416139346,13005600,"['t', 'ci', 'mk', 'mc']"
67,4,3090,1314033,518,"['t', 'ci', 'mk', 'mc']"
68,4,98811527,864540250,46144921,"['t', 'ci', 'mk', 'mc']"
69,4,26230,4513657,2301,"['t', 'mk', 'mc', 'mi']"
7,2,6,55,1,"['t', 'mi_idx']"
70,4,8020,3030202,740,"['t', 'mk', 'mc', 'mi']"
8,2,143567,144546,108501,"['t', 'mi_idx']"
9,2,43838,45905,41860,"['t', 'mi_idx']"
