join_size,simple_complexity,simple_count,simple_median,moderate_complexity,moderate_count,moderate_median,complex_complexity,complex_count,complex_median
2,0,292,459925.0,1,705,378072,2,339,159355
3,0,385,168225,1,1390,104095.0,2,882,39854.0
4,0,380,148552.0,1,2206,22138.5,2,1866,14010.0
5,0,281,77884,1,2809,12936,2,3318,9923.0
6,0,137,30057,1,2945,8713,2,5091,8208
7,0,40,8448.0,1,2561,7683,2,6810,8890.0
8,0,4,4254.0,1,1876,6615.0,2,7959,8913
9,,,,1,1160,6085.0,2,8082,8819.0
10,,,,1,603,5628,2,7056,9225.0
11,,,,1,257,3027,2,5220,8340.0
12,,,,1,86,1903.5,2,3210,7163.5
13,,,,1,21,1191,2,1599,6940
14,,,,1,3,397,2,621,4890
15,,,,,,,2,177,2868
16,,,,,,,2,33,1620
17,,,,,,,2,3,1620
